offerId,price,validity,On-net Mins,Off-net Mins,SMS,Data,Social Data
1469,1739,30,3000,500,3000,51200,0
1114,650,3,125,0,0,125,0
1079,20,7,0,0,0,50,0
1389,225,3,0,0,6000,0,0
1681,956,3,0,0,0,200,0
1124,444,30,333,50,1000,1024,0
1492,260,1,500,50,0,10240,0
1145,240,7,0,0,0,0,0
1107,5030,3,2800,1200,1000,0,0
1393,2750,3,0,500,0,7000,0
1154,140,7,0,0,0,3072,0
1454,222,7,5000,0,5000,5120,0
1569,1000,3,0,0,0,10240,0
2917,86,7,1000,200,0,10240,0
1400,20,3,0,0,1500,0,0
1139,11,3,1440,0,1500,100,0
2899,200,3,0,0,0,0,0
1099,300,30,0,0,0,0,0
1479,260,30,0,0,0,8192,0
1134,600,30,2000,150,2000,2000,0
1071,42,7,0,0,0,1024,0
3538,478,7,1000,150,1000,35433480192,0
1130,13,3,300,0,300,20,0
1065,304,30,0,0,1000,10240,0
3412,20,1,120,5,120,500,0
1513,600,30,0,0,1000,1024,0
2374,700,7,0,0,0,5000,0
1512,999,1,0,0,5000,15360,0
1398,350,30,0,0,0,1000,0
1144,200,1,0,0,0,7168,0
1140,23,1,0,0,0,0,0
1509,1000,7,0,0,2000,5120,0
1480,2608,1,0,0,0,184320,0
1110,6030,3,2800,1200,1000,0,0
1148,11,1,0,0,0,50,0
1070,868,3,2000,150,2000,2000,0
1510,500,1,0,0,2000,2048,0
1478,121,3,1000,40,0,1024,0
2893,695,7,500,100,500,0,20480
1528,220,3,0,0,0,7168,1024
1131,115,1,1000,20,1000,500,0
1396,600,30,2000,150,2000,2000,0
2620,100,7,0,0,0,512,4608
1606,15,3,0,0,0,5120,0
1663,652,3,2500,250,2500,10240,0
2671,173,3,4000,80,4000,8192,0
2911,495,3,1000,150,1000,20480,0
1619,125,1,0,0,750,0,0
1111,3300,1,1500,0,0,1500,0
2656,1150,1,3500,200,3500,10240,0
1451,45,7,1000,10,1000,100,0
1508,139,3,20,20,200,4000,0
1472,296,30,550,20,550,1000,2000
1494,26,1,0,0,0,0,0
1527,826,1,5000,150,5000,10240,0
1637,3300,3,10000,650,10000,40000,0
1515,1300,7,3000,500,3000,40960,0
1501,86,7,1000,10,1000,1024,0
2485,2100,7,2000,300,2000,1536,0
1484,1304,30,0,0,0,30720,0
2968,86,7,0,0,100,2048,0
1047,43,1,1440,0,50,1024,0
3235,2000,30,0,0,5000,204800,0
1558,15,3,0,0,1000,0,0
1493,217,3,100,0,1000,10240,0
1050,417,3,300,50,1000,10240,0
2884,150,3,0,0,0,5120,0
1159,95,7,0,0,0,5000,0
2350,1800,7,0,0,0,500,0
2494,1091,3,0,0,0,20480,0
2515,1076,3,0,0,0,10240,5120
2617,100,3,0,0,0,512,4608
1146,20,30,0,0,0,2000,0
1118,625,30,300,300,300,1024,0
2503,1434,1,0,0,30,2048,0
3250,607,7,3000,0,3000,30720,0
1514,200,1,0,0,1000,1024,0
1669,22,3,0,0,6000,51200,0
2329,78,1,1000,10,1000,100,0
1381,1870,1,0,0,0,50000,0
1623,69,7,0,0,0,0,5120
2914,5975,1,0,0,0,6144,0
1624,650,1,0,0,0,5000,0
1595,1900,30,350,225,200,0,0
1383,189,30,0,0,0,0,0
2368,17,30,0,0,0,1024,0
1448,210,7,0,0,0,6144,0
1541,215,3,500,25,500,0,8192
2881,150,7,1000,0,0,1024,0
2389,3300,1,20000,1000,20000,102400,0
1547,100,1,0,0,0,0,0
1531,23,30,0,0,0,0,1536
2371,86,3,1000,0,1000,3072,10240
1135,14,30,1440,0,1500,250,0
1117,1250,1,4500,300,150,1024,0
1085,217,7,0,0,0,5120,0
1636,2250,1,6000,450,6000,20000,0
1063,21,1,1440,0,1500,250,0
1684,2151,7,0,0,0,500,0
2908,1478,30,3000,500,3000,20480,0
1062,11,1,0,0,1000,250,0
2401,652,7,3000,300,3000,0,0
1401,34,30,0,0,1500,0,25
1125,888,3,4000,200,4000,8192,0
1058,1565,1,3000,500,3000,25600,0
2533,100,7,0,0,0,0,5120
3418,40,7,1440,10,1440,1024,0
1690,7767,7,0,0,0,3072,0
1086,652,3,0,0,0,5120,0
1157,885,3,0,0,0,10240,0
1498,347,3,300,50,1000,0,6144
1374,1500,30,0,300,300,1024,0
2404,347,30,0,0,0,8192,0
1666,27,30,0,0,6000,51200,0
1119,2100,1,2000,300,2000,2048,0
1611,182,7,0,0,0,0,6144
1105,950,1,0,0,0,0,0
1450,210,30,0,0,0,6144,0
1109,3300,3,7000,500,7000,6144,0
3562,1799,3,0,0,0,2048,0
1475,147,3,120,50,0,0,0
1151,59,3,0,0,0,300,0
3571,69,30,500,0,500,0,0
1152,85,7,0,0,0,0,0
1156,150,30,0,0,0,0,0
1138,11,3,1440,0,1500,100,0
1678,434,30,300,50,300,10240,0
2902,20,30,0,0,1000,0,0
2362,1913,3,3000,750,3000,102400,0
3421,60,7,2880,15,2880,2048,0
1632,1650,1,3000,300,3000,3072,0
2875,478,7,1000,150,1000,15360,0
1548,100,30,1000,0,0,0,1024
2761,565,7,1000,500,1000,51200,51200
2347,800,1,0,0,0,200,0
1100,500,7,0,0,0,0,0
1142,375,30,0,0,0,4096,0
1620,2000,30,0,0,1000,2048,0
1090,173,3,0,0,0,5000,0
1386,675,7,0,0,0,0,0
1387,125,7,0,0,0,0,0
1601,286,7,5000,100,5000,12288,0
1136,14,7,1440,0,1500,250,0
1570,891,30,0,0,0,16000,0
1096,800,7,0,0,0,4096,0
1385,525,7,0,0,0,0,0
1143,600,30,0,0,0,6144,0
2878,200,7,1000,0,0,1024,0
1115,1650,1,450,0,0,500,0
1587,339,7,0,0,0,10240,0
1590,90,1,250,35,2000,0,4096
1132,118,7,1500,0,1500,1500,0
1603,174,30,300,40,2000,0,4096
1112,2750,3,0,0,0,1024,0
1163,300,3,60,0,2,1000,0
1449,17,7,300,0,0,150,0
2632,347,7,0,0,0,51200,0
1556,60,1,600,30,600,6144,0
3514,608,7,2000,600,2000,102400,0
1394,600,7,0,150,2000,2000,0
1602,120,3,0,0,12000,0,5120
2320,173,1,0,0,0,10240,0
1078,27,30,0,0,0,0,1024
1158,143,7,0,0,0,2000,0
1150,59,7,0,0,0,300,0
1093,52,30,0,0,0,100,0
1061,150,3,1000,50,1000,1024,0
1373,1100,7,1000,165,1000,1536,0
1066,11,1,1440,0,1500,100,0
1453,434,7,1000,120,1000,10240,0
1622,350,30,2000,200,4000,5000,0
1635,1250,1,3000,250,3000,12288,0
2920,243,7,0,0,0,0,9216
1103,500,1,0,0,0,0,0
1064,21,3,1440,0,1500,250,0
1573,1750,1,6000,400,6000,20480,0
1568,750,30,0,0,0,4096,0
1102,218,3,0,0,0,0,0
3550,2173,3,5000,1500,5000,204800,0
1546,20,7,250,0,0,0,1024
1631,1250,3,4500,300,1000,1024,0
1465,80,7,0,0,0,0,0
1455,230,7,0,0,0,5120,0
3568,4499,7,0,0,0,5120,0
1567,2300,30,0,0,0,28672,0
3232,1739,7,0,0,2500,76800,0
2527,2390,1,0,0,0,2048,0
1617,913,30,0,0,0,36864,0
1051,347,30,1000,90,1000,5120,0
1149,30,1,0,0,0,0,0
3643,869,1,500,100,500,25600,0
1485,2260,1,0,0,0,112640,0
2614,100,7,0,0,0,512,4608
2659,2608,1,0,0,0,10240,0
1087,260,1,0,0,0,0,0
1379,296,1,0,0,0,2000,0
1572,999,1,3000,200,3000,10240,0
2662,156,7,0,0,1000,0,0
1638,2200,3,5000,500,5000,5120,0
1095,500,1,0,0,0,1024,0
1593,1100,30,100,100,100,0,0
1609,150,7,0,60,1000,3072,0
1483,12173,7,0,0,0,102400,0
3556,5376,1,0,0,0,5120,0
1502,521,30,1000,150,1000,30720,0
1380,1115,30,0,0,0,25000,0
1596,2750,3,500,350,300,0,0
1481,2173,3,0,0,0,61440,0
1693,10157,3,0,0,0,5120,0
1654,2910,1,15000,1500,15000,15360,0
2341,360,7,0,0,0,0,10240
3586,200,30,1000,100,1000,10240,0
1088,1304,7,3000,500,3000,25600,0
1067,21,30,1440,0,1500,100,0
3229,1304,7,0,0,2000,25600,0
1634,60,30,0,0,0,512,2560
3535,452,3,1000,150,1000,23622320128,0
1496,17,3,0,0,0,0,0
1591,173,7,3000,30,3000,3000,0
1574,2600,3,10000,600,10000,40960,0
1056,173,3,1000,60,1000,100,0
1640,417,1,300,50,1000,0,10240
1687,3585,30,0,0,0,1000,0
1388,50,30,0,0,250,0,0
1503,17,30,0,0,0,1024,0
1076,369,30,0,0,0,30720,0
2356,6500,30,0,0,0,3072,0
2497,1043,7,0,0,0,71680,0
2386,2750,3,12500,1000,1000,50000,0
1054,20,1,300,0,300,20,0
2398,147,1,1000,0,1000,3072,10240
2929,243,3,1000,100,1000,15360,0
2359,8500,3,0,0,0,5120,0
1104,600,30,0,0,0,0,0
1473,173,30,500,50,0,5120,0
1123,596,1,0,0,1500,5120,0
1615,1826,7,0,0,0,102400,0
2353,3000,30,0,0,0,1024,0
1610,630,1,0,0,0,7680,0
1049,1739,3,3000,500,3000,51200,0
1566,2300,7,0,0,0,24000,0
1599,2750,3,500,500,400,100,0
2890,2000,3,3000,1000,3000,102400,102400
1126,70,1,0,0,12000,0,0
1608,66,30,0,0,0,0,5120
2323,240,30,0,0,0,0,5120
1052,345,1,0,120,1500,3072,0
1633,2750,3,7000,700,7000,7168,0
1597,5500,7,2000,650,1000,5120,0
1482,5625,3,0,0,0,66560,0
1395,3000,1,0,0,5000,5120,0
2407,869,1,0,0,0,25600,0
1129,17,3,250,0,200,1024,0
2365,547,1,1000,300,1000,51200,0
3247,1477,1,3000,0,3000,102400,102400
2380,100,7,0,0,2000,0,0
1639,3300,3,10000,1000,10000,10240,0
2896,150,30,0,0,0,0,0
2377,600,3,0,0,0,2000,0
1082,113,1,0,0,0,51200,0
1505,35,30,0,0,0,2048,0
2317,174,1,300,50,1000,10240,0
2383,478,1,2000,0,0,0,0
3253,173,1,300,0,1000,6144,0
2638,304,7,500,50,0,15360,0
1127,155,3,1000,50,1000,1024,0
1598,8500,1,6000,700,6000,12288,0
1116,3300,30,3000,650,1000,2048,0
2338,720,30,0,0,0,0,20480
